Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
5:23	s86t	207922	Abstract Nouns [26671]	in all security	1	If your language does not use an abstract noun for the idea behind the word **security**, you could express the same idea with an adverb such as “securely.” The word **all** is an intensifier. Alternate translation: “very securely”
5:23	x7s0	207923	Assumed Knowledge and Implicit Information [26687]	having opened	1	Your language may require you to specify the object of **opened**. Alternate translation: “once we opened the doors”
5:23	e0x0	207924	Hyperbole [26695]	we found no one inside	1	By **no one**, the officers mean that they found none of the men they had been sent to bring, that is, none of the apostles. It is possible that other people were also being held in the prison, but the angel would not have released them, and they would still have been inside. Alternate translation: “we did not find any of those men inside”
5:24	hy5v	207925	Metonymy [26707]	these words	1	Luke is using the term **words** to mean the report that the officers gave. Alternate translation: “this report”
5:24	mmnw	207926	Pronouns — When to Use Them [26838]	concerning them	1	The pronoun **them** does not refer to the apostles but to the **words** that the officers spoke in giving their report. Alternate translation: “about the things the officers had told them”
5:24	cuxr	207927	Idiom [26697]	as to what this might become	1	The expression **what this might become** refers to a possible result. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “wondering what would happen as a result”
5:25	rggb	207928	Metaphor [26706]	Behold, the men	1	This person says **Behold** to get the council members to focus their attention on what he is about to say. Your language may have a similar expression that you can use here in your translation. Alternate translation: “Right now the men”
5:25	lm01	207929	Forms of You [26731]	you put	1	Here the word **you** refers to the captain of the temple and the chief priests and so it is plural.
5:25	ook6	207930	Assumed Knowledge and Implicit Information [26687]	standing in the temple	1	Only priests were allowed inside the temple building, so when the messenger says **the temple** here, he means the courtyard associated with the temple. Alternate translation: “standing in the temple courtyard”
5:26	ek6i	207931	Pronouns — When to Use Them [26838]	Then the captain, going with the officers, brought them back, not with violence, for they feared the people, lest they stone them	1	The first instance of the pronoun **them** refers to the apostles, but the second instance of the pronoun **them** refers to the captain and the officers. The captain and officers were not afraid that the people would stone the apostles. They were afraid that they would be stoned themselves if they used violence against the apostles. You could reword this to make the referents clear. It may be helpful to make this two sentences. Alternate translation: “Then the captain went with the officers and brought the apostles back. But the captain and officers did not use any violence, because they were afraid that the people would stone them if they did”
5:27	vwnn	207932	Pronouns — When to Use Them [26838]	And having brought them	1	The pronoun **them** refers to the apostles in all three instances in this verse. It may be helpful to specify this here in the first instance. Alternate translation: “Once they had brought the apostles back”
5:28	ljya	207933		We commanded you with a command	1	For emphasis, the high priest is using a construction in which a verb and its object come from the same root. If your language uses the same construction for emphasis, it would be appropriate to use it here in your translation. Other languages may have other ways of conveying this emphasis. Alternate translation: “we commanded you very strictly”
